,0
0.04447217260689354,1
0.03735705377064894,2
0.029517295175847218,3
0.027648681725788125,4
0.02370082930603457,5
0.019014006275681422,6
0.017127423825180257,7
0.015156961929933384,8
0.012443804898430763,9
0.009647184523416412,10
