,País,Apellido,y,c
10275,Puerto Rico,Agosto,0.2837837837837838,Puerto Rico
4228,México,Agudelo,0.0,Mexico
4226,Guatemala,Agudelo,0.0,Guatemala
4225,El Salvador,Agudelo,0.0,El Salvador
4227,Honduras,Agudelo,0.0,Honduras
4229,Nicaragua,Agudelo,0.0,Nicaragua
4222,Costa Rica,Agudelo,0.0,Costa Rica
4230,Panamá,Agudelo,0.0,Panama
4221,Colombia,Agudelo,0.05722070844686648,Colombia
4236,Venezuela,Agudelo,0.0,Venezuela
4224,Ecuador,Agudelo,0.0,Ecuador
4232,Perú,Agudelo,0.0,Peru
4219,Bolivia,Agudelo,0.0,Bolivia
4220,Chile,Agudelo,0.0,Chile
4218,Argentina,Agudelo,0.0,Argentina
4231,Paraguay,Agudelo,0.0,Paraguay
4235,Uruguay,Agudelo,0.0,Uruguay
4223,Cuba,Agudelo,0.0,Cuba
4234,República Dominicana,Agudelo,0.0,Dominicana
4233,Puerto Rico,Agudelo,0.0,Puerto Rico
1378,México,Aguero,0.0,Mexico
1376,Guatemala,Aguero,0.0,Guatemala
1375,El Salvador,Aguero,0.0,El Salvador
1377,Honduras,Aguero,0.0,Honduras
1379,Nicaragua,Aguero,0.0,Nicaragua
1372,Costa Rica,Aguero,0.0,Costa Rica
1380,Panamá,Aguero,0.0,Panama
1371,Colombia,Aguero,0.0,Colombia
1386,Venezuela,Aguero,0.0,Venezuela
1374,Ecuador,Aguero,0.0,Ecuador
1382,Perú,Aguero,0.0,Peru
1369,Bolivia,Aguero,0.0,Bolivia
1370,Chile,Aguero,0.0,Chile
1368,Argentina,Aguero,0.03535353535353535,Argentina
1381,Paraguay,Aguero,0.08235294117647059,Paraguay
1385,Uruguay,Aguero,0.0,Uruguay
1373,Cuba,Aguero,0.0,Cuba
1384,República Dominicana,Aguero,0.0,Dominicana
1383,Puerto Rico,Aguero,0.0,Puerto Rico
2081,México,Aguilar,0.12804878048780488,Mexico
2079,Guatemala,Aguilar,0.11797752808988764,Guatemala
2078,El Salvador,Aguilar,0.16279069767441862,El Salvador
2080,Honduras,Aguilar,0.20192307692307696,Honduras
2082,Nicaragua,Aguilar,0.10994764397905761,Nicaragua
2075,Costa Rica,Aguilar,0.14685314685314685,Costa Rica
2083,Panamá,Aguilar,0.10396039603960397,Panama
2074,Colombia,Aguilar,0.0,Colombia
2089,Venezuela,Aguilar,0.04233870967741936,Venezuela
2077,Ecuador,Aguilar,0.04430379746835443,Ecuador
2085,Perú,Aguilar,0.0707070707070707,Peru
2072,Bolivia,Aguilar,0.10096153846153848,Bolivia
2073,Chile,Aguilar,0.0,Chile
2071,Argentina,Aguilar,0.0,Argentina
2084,Paraguay,Aguilar,0.0,Paraguay
2088,Uruguay,Aguilar,0.0,Uruguay
2076,Cuba,Aguilar,0.04929577464788733,Cuba
2087,República Dominicana,Aguilar,0.0,Dominicana
2086,Puerto Rico,Aguilar,0.0,Puerto Rico
3012,México,Aguilera,0.0,Mexico
3010,Guatemala,Aguilera,0.0,Guatemala
3009,El Salvador,Aguilera,0.0,El Salvador
3011,Honduras,Aguilera,0.0,Honduras
3013,Nicaragua,Aguilera,0.0,Nicaragua
3006,Costa Rica,Aguilera,0.0,Costa Rica
3014,Panamá,Aguilera,0.0,Panama
3005,Colombia,Aguilera,0.0,Colombia
3020,Venezuela,Aguilera,0.0,Venezuela
3008,Ecuador,Aguilera,0.0,Ecuador
3016,Perú,Aguilera,0.0,Peru
3003,Bolivia,Aguilera,0.04142011834319527,Bolivia
3004,Chile,Aguilera,0.06422018348623854,Chile
3002,Argentina,Aguilera,0.0,Argentina
3015,Paraguay,Aguilera,0.061946902654867256,Paraguay
3019,Uruguay,Aguilera,0.0,Uruguay
3007,Cuba,Aguilera,0.04487179487179488,Cuba
3018,República Dominicana,Aguilera,0.0,Dominicana
3017,Puerto Rico,Aguilera,0.0,Puerto Rico
428,México,Aguirre,0.03425774877650897,Mexico
426,Guatemala,Aguirre,0.0,Guatemala
425,El Salvador,Aguirre,0.0,El Salvador
427,Honduras,Aguirre,0.0,Honduras
429,Nicaragua,Aguirre,0.06624605678233439,Nicaragua
422,Costa Rica,Aguirre,0.0,Costa Rica
430,Panamá,Aguirre,0.0,Panama
421,Colombia,Aguirre,0.0,Colombia
436,Venezuela,Aguirre,0.0,Venezuela
424,Ecuador,Aguirre,0.04015296367112811,Ecuador
432,Perú,Aguirre,0.03333333333333333,Peru
419,Bolivia,Aguirre,0.0,Bolivia
420,Chile,Aguirre,0.0,Chile
418,Argentina,Aguirre,0.07167235494880547,Argentina
431,Paraguay,Aguirre,0.0,Paraguay
435,Uruguay,Aguirre,0.022198731501057084,Uruguay
423,Cuba,Aguirre,0.0,Cuba
434,República Dominicana,Aguirre,0.0,Dominicana
433,Puerto Rico,Aguirre,0.0,Puerto Rico
7439,México,Ajanel,0.0,Mexico
7437,Guatemala,Ajanel,0.050602409638554224,Guatemala
7436,El Salvador,Ajanel,0.0,El Salvador
7438,Honduras,Ajanel,0.0,Honduras
7440,Nicaragua,Ajanel,0.0,Nicaragua
7433,Costa Rica,Ajanel,0.0,Costa Rica
7441,Panamá,Ajanel,0.0,Panama
7432,Colombia,Ajanel,0.0,Colombia
7447,Venezuela,Ajanel,0.0,Venezuela
7435,Ecuador,Ajanel,0.0,Ecuador
7443,Perú,Ajanel,0.0,Peru
7430,Bolivia,Ajanel,0.0,Bolivia
7431,Chile,Ajanel,0.0,Chile
7429,Argentina,Ajanel,0.0,Argentina
7442,Paraguay,Ajanel,0.0,Paraguay
7446,Uruguay,Ajanel,0.0,Uruguay
7434,Cuba,Ajanel,0.0,Cuba
7445,República Dominicana,Ajanel,0.0,Dominicana
7444,Puerto Rico,Ajanel,0.0,Puerto Rico
7629,México,Ajpacaja,0.0,Mexico
7627,Guatemala,Ajpacaja,0.039473684210526314,Guatemala
7626,El Salvador,Ajpacaja,0.0,El Salvador
7628,Honduras,Ajpacaja,0.0,Honduras
7630,Nicaragua,Ajpacaja,0.0,Nicaragua
7623,Costa Rica,Ajpacaja,0.0,Costa Rica
7631,Panamá,Ajpacaja,0.0,Panama
7622,Colombia,Ajpacaja,0.0,Colombia
7637,Venezuela,Ajpacaja,0.0,Venezuela
7625,Ecuador,Ajpacaja,0.0,Ecuador
7633,Perú,Ajpacaja,0.0,Peru
7620,Bolivia,Ajpacaja,0.0,Bolivia
7621,Chile,Ajpacaja,0.0,Chile
7619,Argentina,Ajpacaja,0.0,Argentina
7632,Paraguay,Ajpacaja,0.0,Paraguay
7636,Uruguay,Ajpacaja,0.0,Uruguay
7624,Cuba,Ajpacaja,0.0,Cuba
7635,República Dominicana,Ajpacaja,0.0,Dominicana
7634,Puerto Rico,Ajpacaja,0.0,Puerto Rico
3373,México,Alarcon,0.0,Mexico
3371,Guatemala,Alarcon,0.0,Guatemala
3370,El Salvador,Alarcon,0.0,El Salvador
3372,Honduras,Alarcon,0.0,Honduras
3374,Nicaragua,Alarcon,0.0,Nicaragua
3367,Costa Rica,Alarcon,0.0,Costa Rica
3375,Panamá,Alarcon,0.0,Panama
3366,Colombia,Alarcon,0.0,Colombia
3381,Venezuela,Alarcon,0.0,Venezuela
3369,Ecuador,Alarcon,0.0,Ecuador
3377,Perú,Alarcon,0.03230769230769231,Peru
3364,Bolivia,Alarcon,0.0,Bolivia
3365,Chile,Alarcon,0.0679611650485437,Chile
3363,Argentina,Alarcon,0.0,Argentina
3376,Paraguay,Alarcon,0.0,Paraguay
3380,Uruguay,Alarcon,0.0,Uruguay
3368,Cuba,Alarcon,0.0,Cuba
3379,República Dominicana,Alarcon,0.0,Dominicana
3378,Puerto Rico,Alarcon,0.0,Puerto Rico
6774,México,Alas,0.0,Mexico
